,,,Batting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pitching,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fielding,,,,,,,,,,,,,,
Number,Last,First,GP,PA,AB,AVG,OBP,OPS,SLG,H,1B,2B,3B,HR,RBI,R,BB,SO,K-L,HBP,SAC,SF,ROE,FC,SB,SB%,CS,PIK,QAB,QAB%,PA/BB,BB/K,C%,HHB,LD%,FB%,GB%,BABIP,BA/RISP,LOB,2OUTRBI,XBH,TB,PS,PS/PA,2S+3,2S+3%,6,6%,AB/HR,GIDP,GITP,CI,IP,GP,GS,BF,#P,W,L,SV,SVO,BS,SV%,H,R,ER,BB,SO,K-L,HBP,ERA,WHIP,LOB,BK,PIK,CS,SB,SB%,WP,BAA,P/IP,P/BF,<3%,LOO,1ST2OUT,123INN,<13,FIP,S%,FPS%,FPSO%,FPSW%,FPSH%,BB/INN,0BBINN,BBS,LOBB,LOBBS,SM%,K/BF,K/BB,WEAK%,HHB%,GO/AO,HR,LD%,FB%,GB%,BABIP,BA/RISP,FB,FBS,FBS%,FBSW%,FBSM%,MPHFB,CB,CBS,CBS%,CBSW%,CBSM%,MPHCB,CT,CTS,CTS%,CTSW%,CTSM%,MPHCT,SL,SLS,SLS%,SLSW%,SLSM%,MPHSL,CH,CHS,CHS%,CHSW%,CHSM%,MPHCH,OS,OSS,OSS%,OSSW%,OSSM%,MPHOS,TC,A,PO,FPCT,E,DP,TP,INN,PB,SB,SBATT,CS,CS%,PIK,CI
,Lee,Jeongjun,10,33,18,0.222,0.576,0.854,0.278,4,3,1,0,0,3,8,10,8,3,5,0,0,1,1,5,83.33,1,0,20,60.61,3.3,1.250,55.56,8,40.00,20.00,40.00,0.400,0.200,16,1,1,5,133,4.030,2,6.06,2,6.06,-,0,0,0,4.0,4,0,42,153,0,0,0,0,0,-,9,18,15,18,1,0,2,26.25,6.750,10,0,1,0,10,100.0,2,0.409,38.2,3.643,30.95,3,0,0,0,14.70,35.29,35.71,53.33,6.67,33.33,4.500,0,10,3,2,2.61,0.024,0.056,52.38,47.62,1.000,0,14.29,28.57,57.14,0.429,0.467,0,0,-,-,-,-,0,0,-,-,-,-,0,0,-,-,-,-,0,0,-,-,-,-,0,0,-,-,-,-,0,0,-,-,-,-,36,12,14,0.722,10,2,0,2.0,1,2,2,0,0.00,0,0
,Hill,Lewis,10,27,17,0.235,0.519,0.754,0.235,4,4,0,0,0,5,6,8,9,4,2,0,0,1,0,4,100.0,0,0,17,62.96,3.4,0.889,47.06,5,12.50,12.50,75.00,0.500,0.333,14,2,0,4,116,4.296,6,22.22,8,29.63,-,0,0,0,1.0,1,0,8,27,0,0,0,0,0,-,2,2,0,3,0,0,0,0.000,5.000,3,0,0,1,1,50.00,0,0.400,27.0,3.375,50.00,0,0,0,0,10.34,29.63,37.50,66.67,0.00,33.33,3.000,0,0,0,0,3.70,0.000,0.000,40.00,60.00,1.000,0,0.00,20.00,80.00,0.400,0.000,0,0,-,-,-,-,0,0,-,-,-,-,0,0,-,-,-,-,0,0,-,-,-,-,0,0,-,-,-,-,0,0,-,-,-,-,19,5,10,0.789,4,0,0,0.0,0,0,0,0,-,0,0
,Bondell,Jacqueline,5,12,9,0.000,0.182,0.182,0.000,0,0,0,0,0,0,1,2,6,0,0,0,0,0,0,2,100.0,0,0,5,41.67,6.0,0.333,33.33,1,0.00,33.33,66.67,0.000,0.000,13,0,0,0,57,4.750,2,16.67,3,25.00,-,0,0,1,0.0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,-,-,0,0,0,0,0,-,0,-,-,-,-,0,0,0,0,-,-,-,-,-,-,-,0,0,0,0,-,-,-,-,-,-,0,-,-,-,-,-,0,0,-,-,-,-,0,0,-,-,-,-,0,0,-,-,-,-,0,0,-,-,-,-,0,0,-,-,-,-,0,0,-,-,-,-,10,4,3,0.700,3,1,0,0.0,0,0,0,0,-,0,0
,Georges,Vincent,6,22,19,0.263,0.364,0.679,0.316,5,4,1,0,0,4,2,2,4,2,1,0,0,0,0,4,100.0,0,0,10,45.45,11.0,0.500,78.95,5,13.33,0.00,86.67,0.333,0.143,12,2,1,6,65,2.955,1,4.55,3,13.64,-,0,0,0,0.0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,-,-,0,0,0,0,0,-,0,-,-,-,-,0,0,0,0,-,-,-,-,-,-,-,0,0,0,0,-,-,-,-,-,-,0,-,-,-,-,-,0,0,-,-,-,-,0,0,-,-,-,-,0,0,-,-,-,-,0,0,-,-,-,-,0,0,-,-,-,-,0,0,-,-,-,-,9,1,7,0.889,1,2,0,3.0,0,8,9,1,11.11,0,0
,Klein,Ildi,3,6,5,0.000,0.167,0.167,0.000,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,-,0,0,3,50.00,6.0,0.500,60.00,1,0.00,33.33,66.67,0.000,0.000,2,0,0,0,25,4.167,2,33.33,1,16.67,-,0,0,0,0.0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,-,-,0,0,0,0,0,-,0,-,-,-,-,0,0,0,0,-,-,-,-,-,-,-,0,0,0,0,-,-,-,-,-,-,0,-,-,-,-,-,0,0,-,-,-,-,0,0,-,-,-,-,0,0,-,-,-,-,0,0,-,-,-,-,0,0,-,-,-,-,0,0,-,-,-,-,4,0,2,0.500,2,0,0,0.0,0,0,0,0,-,0,0
,Martin,Nick,4,12,10,0.400,0.500,1.000,0.500,4,3,1,0,0,3,1,1,2,0,1,0,0,0,1,2,100.0,0,0,10,83.33,12.0,0.500,80.00,5,37.50,25.00,37.50,0.500,0.286,7,1,1,5,52,4.333,4,33.33,4,33.33,-,0,0,0,0.0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,-,-,0,0,0,0,0,-,0,-,-,-,-,0,0,0,0,-,-,-,-,-,-,-,0,0,0,0,-,-,-,-,-,-,0,-,-,-,-,-,0,0,-,-,-,-,0,0,-,-,-,-,0,0,-,-,-,-,0,0,-,-,-,-,0,0,-,-,-,-,0,0,-,-,-,-,6,0,6,1.000,0,0,0,4.2,1,5,5,0,0.00,0,0
,McDonald,Mark,6,18,9,0.444,0.722,1.278,0.556,4,3,1,0,0,5,5,9,1,0,0,0,0,1,0,8,88.89,1,0,14,77.78,2.0,9.000,88.89,4,12.50,12.50,75.00,0.500,0.600,3,2,1,5,74,4.111,3,16.67,4,22.22,-,0,0,0,0.0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,-,-,0,0,0,0,0,-,0,-,-,-,-,0,0,0,0,-,-,-,-,-,-,-,0,0,0,0,-,-,-,-,-,-,0,-,-,-,-,-,0,0,-,-,-,-,0,0,-,-,-,-,0,0,-,-,-,-,0,0,-,-,-,-,0,0,-,-,-,-,0,0,-,-,-,-,29,1,26,0.931,2,3,0,0.0,0,0,0,0,-,0,0
,Nash,Chris,7,20,10,0.200,0.600,0.800,0.200,2,2,0,0,0,3,5,5,4,1,5,0,0,0,0,10,100.0,0,0,11,55.00,4.0,1.250,60.00,4,0.00,33.33,66.67,0.333,0.111,13,2,0,2,74,3.700,4,20.00,4,20.00,-,0,0,0,0.0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,-,-,0,0,0,0,0,-,0,-,-,-,-,0,0,0,0,-,-,-,-,-,-,-,0,0,0,0,-,-,-,-,-,-,0,-,-,-,-,-,0,0,-,-,-,-,0,0,-,-,-,-,0,0,-,-,-,-,0,0,-,-,-,-,0,0,-,-,-,-,0,0,-,-,-,-,4,0,3,0.750,1,0,0,0.0,0,0,0,0,-,0,0
Totals,,,11,312,228,0.285,0.476,0.814,0.338,65,54,10,1,0,62,78,67,60,21,16,0,0,16,7,96,96.97,3,3,194,62.18,4.7,1.117,73.68,97,23.35,22.16,54.49,0.387,0.265,72,17,11,77,1188,3.808,39,12.50,51,16.35,-,0,0,1,47.0,11,11,379,1502,1,0,0,0,0,-,77,144,93,122,42,15,20,13.85,4.234,70,0,3,4,65,94.20,23,0.328,32.0,3.963,32.19,20,4,3,5,9.160,42.88,39.05,50.00,14.86,31.08,2.596,8,66,20,16,7.12,0.111,0.344,52.53,47.47,0.738,1,20.71,30.30,48.21,0.392,0.331,0,0,-,-,-,-,0,0,-,-,-,-,0,0,-,-,-,-,0,0,-,-,-,-,0,0,-,-,-,-,0,0,-,-,-,-,238,52,141,0.811,45,5,0,47.0,10,65,69,4,5.80,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glossary,,,GP = Games played,PA = Plate appearances,AB = At bats,AVG = Batting average,OBP = On-base percentage,OPS = On-base percentage plus slugging percentage,SLG = Slugging percentage,H = Hits,1B = Single,2B = Doubles,3B = Triples,HR = Home runs,RBI = Runs batted in,R = Runs scored,BB = Base on balls (walks),SO = Strikeouts,K-L = Strikeouts Looking,HBP = Hit by pitch,SAC = Sacrifice hits & bunts,SF = Sacrifice flies,ROE = Reached on error,FC = Hit into fielder's choice,SB = Stolen bases,SB% = Stolen base percentage,CS = Caught stealing,PIK = Picked off,"QAB = Quality at bats (any one of: 3 pitches after 2 strikes, 6+ pitch ABs, XBH, HHB, BB, SAC Bunt, SAC Fly)",QAB% = Quality at bats per plate appearance,PA/BB = Plate appearances per walk,BB/K = Walks per strikeout,C% = Contact Percentage/Contact Rate: AB-K/AB,HHB = Hard hit balls: Total line drives and hard ground balls,LD% = Line drive percentage,FB% = Fly ball percentage,GB% = Ground ball percentage,BABIP = Batting average on balls in play,BA/RISP = Batting average with runners in scoring position,LOB = Runners left on base,2OUTRBI = 2-out RBI,XBH = Extra-base hits,TB = Total bases,PS = Pitches seen,PS/PA = Pitches seen per plate appearance,2S+3 = Plate appearances in which batter sees 3+ pitches after 2 strikes,2S+3% = % of plate appearances in which batter sees 3+ pitches after 2 strikes,6+ = Plate appearances with 6+ pitches,6+% = % of plate appearances of 6+ pitches,AB/HR = At bats per home run,GIDP = Hit into double play,GITP = Hit into triple play,CI = Batter advances on catcher's interference,IP = Innings Pitched,GP = Games pitched,GS = Games Started,BF = Total batters faced,#P = Total pitches,W = Wins,L = Losses,SV = Saves,SVO = Save opportunities,BS = Blown saves,SV% = Save percentage,H = Hits allowed,R = Runs allowed,ER = Earned runs allowed,BB = Base on balls (walks),SO = Strikeouts,K-L = Strikeouts Looking,HBP = Hit batters,ERA = Earned run average,WHIP = Walks plus hits per innings pitched,LOB = Runners left on base,BK = Balks,PIK = Runners picked off,CS = Runners caught stealing,SB = Stolen bases allowed,SB% = Stolen bases allowed percentage,WP = Wild pitches,BAA = Opponent batting average,P/IP = Pitches per inning,P/BF = Pitches per batter faced,<3% = % of batters on or out in three pitches or less,LOO = Leadoff out (1st batter of inning),1ST2OUT = Innings with 1st 2 batters out,123INN =  1-2-3 Innings,<13 = Innings of 13 pitches or fewer,FIP = Fielding Independent Pitching,S% = Strike percentage,FPS% = First pitch strike percentage,FPSO% = % of FPS at-bats that result in an out,FPSW% = % of FPS at-bats that result in a walk,FPSH% = % of FPS at-bats that result in a hit,BB/INN = Walks per inning,0BBINN = Zero-walk innings,BBS = Walks that score,LOBB = Leadoff walk (1st batter of inning),LOBBS = Leadoff walk that scored (1st batter of inning),SM% = % of total pitches that are swings and misses,K/BF = Strikeouts per batter faced,K/BB = Strikeouts per walk,WEAK% = % of batted balls weakly hit (fly balls and ground balls),HHB% = % of batted balls that are line drives or hard ground balls,GO/AO = Ratio of ground outs to air outs,HR = Home runs allowed,LD% = Line drive percentage,FB% = Fly ball percentage,GB% = % of all batted balls hit on the ground,BABIP = Opponent batting average on balls in play,BA/RISP = Opponent batting average with runners in scoring position,FB = Number of pitches thrown as Fastballs,FBS = Number of Fastballs thrown for strikes,FBS% = Percentage of Fastballs thrown for strikes,FBSW% = Percentage of Fastballs swung at,FBSM% = Percentage of Fastballs swung at and missed,MPHFB = Average velocity of Fastballs,CB = Number of pitches thrown as Curveballs,CBS = Number of Curveballs thrown for strikes,CBS% = Percentage of Curveballs thrown for strikes,CBSW% = Percentage of Curveballs swung at,CBSM% = Percentage of Curveballs swung at and missed,MPHCB = Average velocity of Curveballs,CT = Number of pitches thrown as Cutters,CTS = Number of Cutters thrown for strikes,CTS% = Percentage of Cutters thrown for strikes,CTSW% = Percentage of Cutters swung at,CTSM% = Percentage of Cutters swung at and missed,MPHCT = Average velocity of Cutters,SL = Number of pitches thrown as Sliders,SLS = Number of Sliders thrown for strikes,SLS% = Percentage of Sliders thrown for strikes,SLSW% = Percentage of Sliders swung at,SLSM% = Percentage of Sliders swung at and missed,MPHSL = Average velocity of Sliders,CH = Number of pitches thrown as Changeups,CHS = Number of Changeups thrown for strikes,CHS% = Percentage of Changeups thrown for strikes,CHSW% = Percentage of Changeups swung at,CHSM% = Percentage of Changeups swung at and missed,MPHCH = Average velocity of Changeups,OS = Number of pitches thrown as Offspeeds,OSS = Number of Offspeeds thrown for strikes,OSS% = Percentage of Offspeeds thrown for strikes,OSSW% = Percentage of Offspeeds swung at,OSSM% = Percentage of Offspeeds swung at and missed,MPHOS = Average velocity of Offspeeds,TC = Total Chances ,A = Assists,PO = Putouts,FPCT = Fielding Percentage,E = Errors,DP = Double Plays,TP = Triple Plays,INN = Innings played as catcher,PB = Passed balls allowed,SB = Stolen bases allowed,SBATT = Stolen bases attempts,CS = Runners caught stealing,CS% = Runners caught stealing percentage,PIK = Runners picked off,CI = Batter advances on catcher's interference
